,SYMBOL,OPEN,HIGH,LOW,PREV.CLOSE,LTP,%CHNG,VOLUME,VALUE,CA
0,INDUSINDBK,903.00,962.00,892.60,879.30,950.50,8.10,"2,35,81,540","2,20,617.10",17-Aug-2021
1,BAJFINANCE,"6,079.00","6,283.15","6,036.00","6,074.40","6,274.00",3.29,"13,25,493","81,871.99",30-Jun-2022
2,TATACONSUM,795.00,820.65,793.35,795.00,818.50,2.96,"22,45,980","18,193.56",09-Jun-2022
3,UPL,687.90,706.95,685.50,686.25,706.05,2.89,"27,47,265","19,249.54",27-Jul-2022
4,LT,"1,726.90","1,768.95","1,715.10","1,739.95","1,763.10",2.63,"28,27,327","49,477.37",21-Jul-2022
5,BAJAJFINSV,"12,400.00","12,757.35","12,381.05","12,420.75","12,739.00",2.56,"2,71,330","34,146.45",30-Jun-2022
6,ASIANPAINT,"2,981.00","3,084.95","2,981.00","3,006.45","3,076.45",2.33,"11,84,060","35,987.85",09-Jun-2022
7,BPCL,317.95,324.00,316.00,317.10,324.00,2.18,"36,49,172","11,690.85",10-Feb-2022
8,HINDALCO,371.65,379.50,370.85,369.35,377.00,2.07,"1,25,21,152","47,137.13",12-Aug-2021
9,TECHM,"1,025.00","1,035.80","1,011.05","1,045.50","1,033.00",1.72,"49,35,223","50,680.30",21-Jul-2022
10,POWERGRID,209.95,213.20,209.45,209.25,212.75,1.67,"93,46,166","19,691.44",16-Feb-2022
11,GRASIM,"1,445.00","1,467.80","1,442.15","1,441.65","1,464.75",1.60,"7,77,037","11,320.34",12-Aug-2021
12,BAJAJ-AUTO,"4,004.65","4,070.60","3,993.45","4,002.05","4,065.00",1.57,"3,71,547","14,997.38",30-Jun-2022
13,AXISBANK,707.95,718.45,704.35,705.70,716.00,1.46,"80,36,515","57,252.94",07-Jul-2022
14,ADANIPORTS,747.70,756.90,741.20,743.55,753.85,1.39,"26,39,283","19,884.62",14-Jul-2022
15,EICHERMOT,"3,053.00","3,092.10","3,031.00","3,045.00","3,087.00",1.38,"4,69,152","14,366.37",09-Aug-2021
16,DIVISLAB,"3,741.65","3,800.00","3,741.60","3,741.65","3,792.00",1.35,"2,37,218","8,964.99",17-Aug-2021
17,NESTLEIND,"18,600.00","18,889.95","18,593.75","18,617.10","18,830.00",1.14,"50,656","9,503.18",21-Apr-2022
18,INFY,"1,517.00","1,535.45","1,503.10","1,515.30","1,532.00",1.10,"50,08,061","76,494.13",31-May-2022
19,SHREECEM,"20,208.20","20,510.00","20,101.00","20,208.20","20,423.35",1.06,"21,427","4,354.75",13-Jul-2022
